""Cities, provincies"";""Crude birth rate 2017"";""Crude birth rate 2018"";""Crude birth rate 2019"";""Crude birth rate Prel. 2020"";""Crude death rate 2017"";""Crude death rate 2018"";""Crude death rate 2019"";""Crude death rate Prel. 2020"";""Natural increase rate 2017"";""Natural increase rate 2018"";""Natural increase rate 2019"";""Natural increase rate Prel. 2020""
WHOLE COUNTRY;14.90;14.60;16.30;16.30;6.80;6.80;6.30;6.06;8.10;7.80;10.00;10.24
Red River Delta;14.70;14.90;17.90;17.20;6.80;7.30;6.40;6.10;7.90;7.60;11.50;11.10
Ha Noi;15.10;14.70;19.10;17.90;5.50;6.10;5.70;5.43;9.60;8.60;13.40;12.47
Ha Tay;..;..;..;..;..;..;..;..;..;..;..;..
Vinh Phuc;17.50;17.50;17.20;17.46;7.20;8.70;5.90;5.68;10.30;8.80;11.30;11.79
Bac Ninh;20.40;19.80;24.80;23.03;4.80;7.70;5.60;5.38;15.60;12.10;19.20;17.65
Quang Ninh;15.50;15.20;16.20;15.91;4.50;6.50;5.50;5.27;11.00;8.60;10.70;10.64
Hai Duong;13.10;16.90;17.40;18.80;7.70;8.80;6.60;6.39;5.40;8.10;10.70;12.42
Hai Phong;14.00;13.50;15.90;14.79;8.00;7.60;7.30;7.05;6.00;5.90;8.60;7.74
Hung Yen;13.90;15.00;17.10;17.54;8.10;6.10;6.30;6.03;5.80;8.90;10.80;11.51
Thai Binh;12.00;11.40;15.20;13.82;8.50;7.40;7.50;7.24;3.50;4.10;7.60;6.58
Ha Nam;12.20;14.50;16.10;16.58;6.50;9.00;6.80;6.52;5.70;5.50;9.30;10.06
Nam Dinh;13.70;14.00;16.50;15.94;9.00;8.40;7.80;7.50;4.70;5.70;8.70;8.43
Ninh Binh;13.40;14.50;16.90;16.40;9.10;9.80;7.10;6.82;4.30;4.70;9.80;9.58
Northern midlands and mountain areas;18.60;17.60;17.50;17.74;7.40;6.90;7.20;6.90;11.20;10.60;10.30;10.84
Ha Giang;19.30;20.30;18.30;19.71;7.20;7.20;7.90;7.60;12.10;13.00;10.40;12.11
